id,ordered_at,delivered_at,delivered_to,order_channel
1373,10/9/2018 21:30,10/9/2018 21:38,CX-607,pick-up
1374,11/6/2018 0:46,11/6/2018 0:51,CX-891,delivery 
1375,10/4/2018 15:12,10/4/2018 15:18,CX-999,pick-up
1376,11/23/2018 14:41,11/23/2018 14:55,CX-712,delivery 
1377,9/8/2018 6:37,9/8/2018 6:54,CX-30,pick-up
1378,11/15/2018 14:04,11/15/2018 14:19,CX-471,delivery 
1379,11/27/2018 12:54,11/27/2018 13:17,CX-565,pick-up
1380,11/10/2018 20:34,11/10/2018 20:38,CX-122,delivery 
1381,10/20/2018 13:26,10/20/2018 13:35,CX-815,pick-up
1382,11/2/2018 5:13,11/2/2018 5:17,CX-105,delivery 
1383,11/22/2018 6:02,11/22/2018 6:17,CX-197,pick-up
1384,10/27/2018 21:16,10/27/2018 21:46,CX-715,delivery 
1385,10/15/2018 16:59,10/15/2018 17:00,CX-850,pick-up
1386,10/16/2018 17:18,10/16/2018 17:43,CX-982,delivery 
1387,11/21/2018 2:00,11/21/2018 2:26,CX-187,pick-up
1388,11/25/2018 20:50,11/25/2018 20:55,CX-109,delivery 
1389,11/23/2018 19:56,11/23/2018 20:18,CX-358,pick-up
1390,9/28/2018 9:00,9/28/2018 9:10,CX-762,delivery 
1391,10/27/2018 5:56,10/27/2018 6:08,CX-898,pick-up
1392,10/13/2018 8:00,10/13/2018 8:12,CX-731,delivery 
1393,10/14/2018 8:07,10/14/2018 8:22,CX-972,pick-up
1394,11/29/2018 6:11,11/29/2018 6:20,CX-366,delivery 
1395,12/1/2018 18:28,12/1/2018 18:29,CX-946,pick-up
1396,9/19/2018 23:57,9/20/2018 0:26,CX-6,delivery 
1397,11/9/2018 14:30,11/9/2018 14:41,CX-656,pick-up
1398,10/31/2018 6:07,10/31/2018 6:27,CX-150,delivery 
1399,11/11/2018 19:29,11/11/2018 19:50,CX-621,pick-up
1400,11/26/2018 2:49,11/26/2018 3:07,CX-399,delivery 
1401,11/11/2018 2:48,11/11/2018 3:01,CX-514,pick-up
1402,10/21/2018 21:27,10/21/2018 21:46,CX-96,delivery 
1403,9/11/2018 21:39,9/11/2018 21:41,CX-61,pick-up
1404,10/16/2018 10:14,10/16/2018 10:33,CX-262,delivery 
1405,11/6/2018 17:58,11/6/2018 17:59,CX-605,pick-up
1406,10/19/2018 2:00,10/19/2018 2:24,CX-465,delivery 
1407,9/13/2018 10:43,9/13/2018 11:01,CX-32,pick-up
1408,10/17/2018 0:45,10/17/2018 0:51,CX-44,delivery 
1409,11/10/2018 4:30,11/10/2018 4:54,CX-7,pick-up
1410,11/2/2018 13:55,11/2/2018 14:18,CX-764,delivery 
1411,11/17/2018 10:04,11/17/2018 10:28,CX-690,pick-up
1412,10/29/2018 16:07,10/29/2018 16:35,CX-311,delivery 
1413,10/4/2018 20:26,10/4/2018 20:41,CX-245,pick-up
1414,9/21/2018 15:33,9/21/2018 15:53,CX-53,delivery 
1415,10/28/2018 0:44,10/28/2018 0:57,CX-703,pick-up
1416,9/9/2018 10:51,9/9/2018 11:05,CX-679,delivery 
1417,11/13/2018 3:40,11/13/2018 4:00,CX-422,pick-up
1418,9/11/2018 3:58,9/11/2018 4:01,CX-539,delivery 
1419,11/5/2018 17:52,11/5/2018 18:01,CX-520,pick-up
1420,11/23/2018 11:11,11/23/2018 11:39,CX-393,delivery 
1421,11/6/2018 2:35,11/6/2018 2:41,CX-882,pick-up
1422,10/3/2018 6:22,10/3/2018 6:37,CX-15,delivery 
1423,10/2/2018 20:36,10/2/2018 20:52,CX-620,pick-up
1424,11/13/2018 10:33,11/13/2018 10:45,CX-528,delivery 
1425,10/1/2018 0:05,10/1/2018 0:15,CX-792,pick-up
1426,9/21/2018 21:23,9/21/2018 21:26,CX-164,delivery 
1427,8/27/2018 6:11,8/27/2018 6:13,CX-436,pick-up
1428,11/27/2018 8:27,11/27/2018 8:38,CX-236,delivery 
1429,11/23/2018 21:52,11/23/2018 22:19,CX-395,pick-up
1430,10/3/2018 22:58,10/3/2018 22:58,CX-769,delivery 
1431,10/12/2018 13:13,10/12/2018 13:17,CX-178,pick-up
1432,10/9/2018 15:08,10/9/2018 15:10,CX-786,delivery 
1433,11/11/2018 4:41,11/11/2018 4:45,CX-20,pick-up
1434,11/15/2018 6:55,11/15/2018 7:01,CX-156,delivery 
1435,9/18/2018 11:18,9/18/2018 11:28,CX-480,pick-up
1436,10/4/2018 5:01,10/4/2018 5:05,CX0,delivery 
1437,11/18/2018 8:15,11/18/2018 8:42,CX0,pick-up
1438,10/31/2018 15:35,10/31/2018 15:40,CX-201,delivery 
1439,11/14/2018 3:56,11/14/2018 4:06,CX-122,pick-up
1440,10/11/2018 18:58,10/11/2018 19:14,CX-418,delivery 
1441,9/30/2018 6:04,9/30/2018 6:22,CX-414,pick-up
1442,10/28/2018 13:27,10/28/2018 13:35,CX-418,delivery 
1443,9/2/2018 5:45,9/2/2018 6:03,CX-751,pick-up
1444,10/16/2018 4:35,10/16/2018 5:04,CX-974,delivery 
1445,11/15/2018 14:51,11/15/2018 15:08,CX-587,pick-up
1446,10/7/2018 11:43,10/7/2018 11:56,CX-19,delivery 
1447,11/15/2018 1:31,11/15/2018 1:56,CX-286,pick-up
1448,11/11/2018 19:09,11/11/2018 19:11,CX-970,delivery 
1449,12/1/2018 6:04,12/1/2018 6:05,CX-656,pick-up
1450,11/29/2018 17:43,11/29/2018 17:43,CX-589,delivery 
1451,9/25/2018 9:36,9/25/2018 9:42,CX-485,pick-up
1452,9/20/2018 9:40,9/20/2018 9:52,CX-134,delivery 
1453,10/15/2018 22:15,10/15/2018 22:30,CX-276,pick-up
1454,11/7/2018 5:02,11/7/2018 5:06,CX-209,delivery 
1455,11/18/2018 21:51,11/18/2018 22:19,CX-780,pick-up
1456,11/9/2018 0:52,11/9/2018 1:08,CX-435,delivery 
1457,9/22/2018 1:01,9/22/2018 1:10,CX-533,pick-up
1458,11/5/2018 7:48,11/5/2018 8:05,CX-121,delivery 
1459,9/19/2018 2:46,9/19/2018 3:00,CX-582,pick-up
1460,10/18/2018 3:14,10/18/2018 3:37,CX-947,delivery 
1461,11/14/2018 0:34,11/14/2018 0:48,CX-165,pick-up
1462,11/6/2018 18:50,11/6/2018 19:11,CX-677,delivery 
1463,10/5/2018 8:14,10/5/2018 8:43,CX-640,pick-up
1464,10/30/2018 13:29,10/30/2018 13:56,CX-221,delivery 
1465,11/10/2018 14:46,11/10/2018 14:59,CX-213,pick-up
1466,11/18/2018 5:05,11/18/2018 5:08,CX-942,delivery 
1467,11/6/2018 11:43,11/6/2018 12:10,CX-674,pick-up
1468,10/28/2018 19:05,10/28/2018 19:05,CX-658,delivery 
1469,10/5/2018 23:40,10/5/2018 23:50,CX-517,pick-up
1470,11/27/2018 21:13,11/27/2018 21:24,CX-5,delivery 
1471,11/4/2018 4:56,11/4/2018 5:17,CX-126,pick-up
1472,10/2/2018 3:07,10/2/2018 3:35,CX-320,delivery 
1473,10/14/2018 9:57,10/14/2018 9:59,CX-863,pick-up
1474,9/23/2018 19:51,9/23/2018 20:06,CX-229,delivery 
1475,9/25/2018 14:13,9/25/2018 14:33,CX-260,pick-up
1476,10/21/2018 2:53,10/21/2018 3:06,CX-155,delivery 
1477,9/26/2018 10:27,9/26/2018 10:41,CX-409,pick-up
1478,10/1/2018 10:29,10/1/2018 10:48,CX-635,delivery 
1479,11/24/2018 17:50,11/24/2018 18:13,CX-952,pick-up
1480,11/5/2018 2:26,11/5/2018 2:52,CX-37,delivery 
1481,10/25/2018 17:00,10/25/2018 17:15,CX-21,pick-up
1482,10/19/2018 17:33,10/19/2018 17:33,CX-365,delivery 
1483,11/8/2018 18:06,11/8/2018 18:32,CX-890,pick-up
1484,9/18/2018 7:38,9/18/2018 7:49,CX-968,delivery 
1485,10/5/2018 17:11,10/5/2018 17:32,CX-232,pick-up
1486,11/1/2018 13:53,11/1/2018 14:10,CX-789,delivery 
1487,10/29/2018 7:10,10/29/2018 7:38,CX-418,pick-up
1488,10/16/2018 9:18,10/16/2018 9:36,CX-120,delivery 
1489,10/1/2018 4:17,10/1/2018 4:29,CX-346,pick-up
1490,9/11/2018 5:13,9/11/2018 5:32,CX-335,delivery 
1491,10/12/2018 13:23,10/12/2018 13:48,CX-462,pick-up
1492,10/10/2018 5:44,10/10/2018 6:03,CX-835,delivery 
1493,11/3/2018 18:44,11/3/2018 18:44,CX-950,pick-up
1494,9/1/2018 23:41,9/1/2018 23:53,CX-336,delivery 
1495,11/30/2018 14:21,11/30/2018 14:22,CX-245,pick-up
1496,10/31/2018 9:50,10/31/2018 10:13,CX-877,delivery 
1497,10/4/2018 23:02,10/4/2018 23:03,CX-787,pick-up
1498,10/23/2018 18:45,10/23/2018 19:15,CX-362,delivery 
1499,9/2/2018 12:24,9/2/2018 12:36,CX-60,pick-up
1500,10/27/2018 16:56,10/27/2018 17:14,CX-928,delivery 
1501,11/14/2018 18:00,11/14/2018 18:21,CX-424,pick-up
1502,9/3/2018 1:55,9/3/2018 2:23,CX-779,delivery 
1503,11/11/2018 16:28,11/11/2018 16:37,CX-2,pick-up
1504,10/8/2018 4:10,10/8/2018 4:23,CX-787,delivery 
1505,9/16/2018 12:48,9/16/2018 13:05,CX-626,pick-up
1506,10/19/2018 12:59,10/19/2018 13:03,CX-698,delivery 
1507,10/2/2018 15:18,10/2/2018 15:32,CX-122,pick-up
1508,10/23/2018 8:16,10/23/2018 8:18,CX-646,delivery 
1509,11/27/2018 11:13,11/27/2018 11:26,CX-450,pick-up
1510,10/24/2018 5:48,10/24/2018 6:07,CX-4,delivery 
1511,10/12/2018 6:35,10/12/2018 6:42,CX-603,pick-up
1512,10/5/2018 12:49,10/5/2018 13:10,CX-60,delivery 
1513,11/14/2018 11:34,11/14/2018 12:01,CX-244,pick-up
1514,11/10/2018 1:22,11/10/2018 1:25,CX-63,delivery 
1515,11/5/2018 11:32,11/5/2018 11:54,CX-282,pick-up
1516,11/29/2018 14:44,11/29/2018 14:51,CX-351,delivery 
1517,11/11/2018 5:24,11/11/2018 5:36,CX-6,pick-up
1518,10/21/2018 11:09,10/21/2018 11:38,CX-953,delivery 
1519,11/1/2018 7:20,11/1/2018 7:46,CX-218,pick-up
1520,10/12/2018 20:46,10/12/2018 20:58,CX-983,delivery 
1521,11/7/2018 1:32,11/7/2018 1:36,CX-208,pick-up
1522,9/18/2018 21:43,9/18/2018 21:43,CX-107,delivery 
1523,11/22/2018 11:07,11/22/2018 11:07,CX-47,pick-up
1524,10/19/2018 3:38,10/19/2018 3:55,CX-442,delivery 
1525,9/3/2018 23:44,9/3/2018 23:57,CX-921,pick-up
1526,11/25/2018 20:40,11/25/2018 20:40,CX-295,delivery 
1527,10/11/2018 0:09,10/11/2018 0:26,CX-924,pick-up
1528,11/12/2018 21:27,11/12/2018 21:43,CX-380,delivery 
1529,11/30/2018 15:41,11/30/2018 16:00,CX-176,pick-up
1530,11/23/2018 23:05,11/23/2018 23:17,CX-890,delivery 
1531,11/17/2018 14:50,11/17/2018 15:01,CX-661,pick-up
1532,11/29/2018 10:24,11/29/2018 10:34,CX-405,delivery 
1533,9/13/2018 11:51,9/13/2018 12:00,CX-833,pick-up
1534,10/13/2018 11:42,10/13/2018 12:03,CX-821,delivery 
1535,10/30/2018 7:24,10/30/2018 7:49,CX-780,pick-up
1536,11/15/2018 3:05,11/15/2018 3:32,CX-697,delivery 
1537,10/17/2018 17:28,10/17/2018 17:53,CX-5,pick-up
1538,11/24/2018 15:02,11/24/2018 15:02,CX-417,delivery 
1539,10/18/2018 10:32,10/18/2018 10:55,CX-142,pick-up
1540,11/9/2018 3:45,11/9/2018 3:54,CX-73,delivery 
1541,11/24/2018 2:35,11/24/2018 2:37,CX-565,pick-up
1542,8/28/2018 2:20,8/28/2018 2:46,CX-841,delivery 
1543,10/12/2018 20:27,10/12/2018 20:38,CX-48,pick-up
1544,9/9/2018 3:27,9/9/2018 3:47,CX-123,delivery 
1545,9/23/2018 9:24,9/23/2018 9:42,CX-699,pick-up
1546,11/29/2018 8:35,11/29/2018 8:51,CX-366,delivery 
1547,9/26/2018 11:04,9/26/2018 11:22,CX0,pick-up
1548,11/9/2018 17:14,11/9/2018 17:24,CX-874,delivery 
1549,11/27/2018 17:13,11/27/2018 17:31,CX-446,pick-up
1550,11/30/2018 18:39,11/30/2018 18:39,CX-97,delivery 
1551,11/6/2018 17:24,11/6/2018 17:40,CX-547,pick-up
1552,11/14/2018 4:10,11/14/2018 4:27,CX-649,delivery 
1553,11/24/2018 21:35,11/24/2018 21:53,CX-230,pick-up
1554,11/10/2018 12:56,11/10/2018 13:08,CX-852,delivery 
1555,10/30/2018 7:39,10/30/2018 8:00,CX-106,pick-up
1556,10/7/2018 19:18,10/7/2018 19:47,CX-765,delivery 
1557,11/8/2018 9:20,11/8/2018 9:23,CX-362,pick-up
1558,10/6/2018 4:35,10/6/2018 4:38,CX-778,delivery 
1559,11/1/2018 1:29,11/1/2018 1:34,CX-344,pick-up
1560,11/28/2018 3:19,11/28/2018 3:42,CX-839,delivery 
1561,11/25/2018 2:07,11/25/2018 2:10,CX-685,pick-up
1562,10/5/2018 10:31,10/5/2018 10:47,CX-787,delivery 
1563,10/26/2018 5:35,10/26/2018 5:47,CX-6,pick-up
1564,11/21/2018 13:08,11/21/2018 13:36,CX-563,delivery 
1565,11/2/2018 21:13,11/2/2018 21:40,CX-159,pick-up
1566,10/31/2018 16:02,10/31/2018 16:18,CX-6,delivery 
1567,12/1/2018 23:20,12/1/2018 23:42,CX-894,pick-up
1568,8/30/2018 7:42,8/30/2018 8:12,CX-253,delivery 
1569,9/4/2018 19:34,9/4/2018 19:42,CX-637,pick-up
1570,11/30/2018 13:30,11/30/2018 13:57,CX-458,delivery 
1571,11/26/2018 16:36,11/26/2018 16:44,CX-57,pick-up
1572,11/15/2018 6:58,11/15/2018 7:24,CX-727,delivery 
1573,9/27/2018 4:50,9/27/2018 4:51,CX-117,pick-up
1574,9/9/2018 9:48,9/9/2018 10:11,CX-319,delivery 
1575,8/26/2018 10:04,8/26/2018 10:24,CX-819,pick-up
1576,10/19/2018 2:18,10/19/2018 2:24,CX-897,delivery 
1577,11/1/2018 17:36,11/1/2018 18:00,CX-34,pick-up
1578,10/27/2018 9:33,10/27/2018 9:47,CX-18,delivery 
1579,10/29/2018 20:16,10/29/2018 20:20,CX-145,pick-up
1580,10/23/2018 13:46,10/23/2018 13:50,CX-982,delivery 
1581,10/12/2018 14:50,10/12/2018 15:03,CX-50,pick-up
1582,10/1/2018 15:10,10/1/2018 15:22,CX-269,delivery 
1583,11/19/2018 8:36,11/19/2018 8:58,CX-410,pick-up
1584,11/9/2018 9:13,11/9/2018 9:14,CX-344,delivery 
1585,11/30/2018 6:11,11/30/2018 6:33,CX-73,pick-up
1586,11/7/2018 6:29,11/7/2018 6:41,CX-18,delivery 
1587,10/19/2018 20:06,10/19/2018 20:21,CX-562,pick-up
1588,11/6/2018 14:17,11/6/2018 14:34,CX-939,delivery 
1589,11/18/2018 15:59,11/18/2018 16:19,CX-855,pick-up
1590,12/1/2018 8:55,12/1/2018 8:58,CX-4,delivery 
1591,11/6/2018 21:28,11/6/2018 21:45,CX-374,pick-up
1592,10/31/2018 2:37,10/31/2018 2:44,CX-270,delivery 
1593,9/21/2018 2:48,9/21/2018 3:01,CX-133,pick-up
1594,9/14/2018 15:11,9/14/2018 15:30,CX-589,delivery 
1595,10/24/2018 18:02,10/24/2018 18:20,CX-909,pick-up
1596,10/2/2018 2:18,10/2/2018 2:39,CX-399,delivery 
1597,11/5/2018 13:15,11/5/2018 13:45,CX-348,pick-up
1598,11/13/2018 20:03,11/13/2018 20:27,CX-711,delivery 
1599,10/27/2018 18:53,10/27/2018 19:00,CX-879,pick-up
1600,11/19/2018 10:41,11/19/2018 10:54,CX-493,delivery 
1601,11/21/2018 20:46,11/21/2018 21:08,CX-520,pick-up
1602,11/20/2018 3:38,11/20/2018 3:51,CX-162,delivery 
1603,9/20/2018 9:55,9/20/2018 9:55,CX-45,pick-up
1604,11/21/2018 4:25,11/21/2018 4:31,CX-348,delivery 
1605,9/16/2018 15:51,9/16/2018 16:20,CX-517,pick-up
1606,9/27/2018 13:12,9/27/2018 13:33,CX-845,delivery 
1607,11/24/2018 23:43,11/24/2018 23:43,CX-847,pick-up
1608,11/28/2018 19:39,11/28/2018 19:46,CX-461,delivery 
1609,9/16/2018 5:15,9/16/2018 5:22,CX-987,pick-up
1610,11/17/2018 9:13,11/17/2018 9:22,CX-288,delivery 
1611,10/2/2018 8:43,10/2/2018 8:56,CX-804,pick-up
1612,10/11/2018 12:59,10/11/2018 13:10,CX-548,delivery 
1613,11/27/2018 9:07,11/27/2018 9:34,CX-575,pick-up
1614,11/2/2018 10:30,11/2/2018 10:56,CX-449,delivery 
1615,8/28/2018 14:53,8/28/2018 15:05,CX-702,pick-up
1616,10/12/2018 16:53,10/12/2018 17:22,CX-5,delivery 
1617,11/22/2018 5:39,11/22/2018 6:08,CX-220,pick-up
1618,11/5/2018 13:11,11/5/2018 13:28,CX-952,delivery 
1619,8/21/2018 22:08,8/21/2018 22:27,CX-785,pick-up
1620,9/15/2018 17:46,9/15/2018 17:49,CX-850,delivery 
1621,11/21/2018 23:32,11/21/2018 23:58,CX-57,pick-up
1622,11/14/2018 14:11,11/14/2018 14:19,CX-701,delivery 
1623,11/14/2018 9:03,11/14/2018 9:15,CX-710,pick-up
1624,9/5/2018 21:58,9/5/2018 22:08,CX-934,delivery 
1625,10/14/2018 19:01,10/14/2018 19:14,CX-995,pick-up
1626,11/27/2018 13:00,11/27/2018 13:09,CX-791,delivery 
1627,11/14/2018 2:14,11/14/2018 2:42,CX-500,pick-up
1628,10/20/2018 5:04,10/20/2018 5:20,CX-382,delivery 
1629,10/5/2018 4:59,10/5/2018 5:11,CX-919,pick-up
1630,10/24/2018 11:38,10/24/2018 12:04,CX-832,delivery 
1631,11/24/2018 4:12,11/24/2018 4:13,CX-357,pick-up
1632,11/1/2018 21:58,11/1/2018 21:59,CX-499,delivery 
1633,11/18/2018 12:02,11/18/2018 12:24,CX-983,pick-up
1634,11/29/2018 16:03,11/29/2018 16:29,CX-43,delivery 
1635,11/30/2018 18:10,11/30/2018 18:24,CX-667,pick-up
1636,10/28/2018 9:28,10/28/2018 9:30,CX-98,delivery 
1637,10/7/2018 11:50,10/7/2018 12:13,CX-507,pick-up
1638,11/30/2018 9:36,11/30/2018 9:50,CX-224,delivery 
1639,11/10/2018 3:22,11/10/2018 3:32,CX-87,pick-up
1640,10/8/2018 11:31,10/8/2018 11:54,CX-656,delivery 
1641,9/10/2018 9:09,9/10/2018 9:20,CX-113,pick-up
1642,11/8/2018 10:45,11/8/2018 10:52,CX-590,delivery 
1643,10/17/2018 5:59,10/17/2018 6:24,CX-122,pick-up
1644,11/15/2018 21:08,11/15/2018 21:22,CX-673,delivery 
1645,10/15/2018 18:12,10/15/2018 18:21,CX-429,pick-up
1646,11/23/2018 4:39,11/23/2018 4:53,CX-621,delivery 
1647,11/30/2018 19:53,11/30/2018 19:58,CX-262,pick-up
1648,10/11/2018 14:10,10/11/2018 14:37,CX-671,delivery 
1649,11/19/2018 11:53,11/19/2018 12:16,CX-490,pick-up
1650,11/22/2018 19:24,11/22/2018 19:44,CX-723,delivery 
1651,10/1/2018 11:29,10/1/2018 11:50,CX-15,pick-up
1652,11/1/2018 11:49,11/1/2018 12:14,CX-372,delivery 
1653,11/25/2018 12:04,11/25/2018 12:29,CX-779,pick-up
1654,10/14/2018 5:04,10/14/2018 5:27,CX-935,delivery 
1655,11/14/2018 3:16,11/14/2018 3:46,CX-751,pick-up
1656,10/3/2018 16:22,10/3/2018 16:23,CX-930,delivery 
1657,10/15/2018 7:13,10/15/2018 7:38,CX-603,pick-up
1658,10/19/2018 0:17,10/19/2018 0:28,CX-408,delivery 
1659,11/4/2018 13:07,11/4/2018 13:35,CX-4,pick-up
1660,9/29/2018 0:21,9/29/2018 0:26,CX-815,delivery 
1661,11/30/2018 14:07,11/30/2018 14:28,CX-975,pick-up
1662,8/13/2018 17:24,8/13/2018 17:27,CX-392,delivery 
1663,11/13/2018 13:36,11/13/2018 13:46,CX-677,pick-up
1664,10/10/2018 19:33,10/10/2018 19:58,CX-530,delivery 
1665,9/12/2018 11:43,9/12/2018 11:48,CX-802,pick-up
1666,11/19/2018 17:19,11/19/2018 17:48,CX-561,delivery 
1667,11/29/2018 18:07,11/29/2018 18:19,CX-322,pick-up
1668,10/14/2018 8:23,10/14/2018 8:26,CX-304,delivery 
1669,10/16/2018 22:02,10/16/2018 22:30,CX-160,pick-up
1670,11/12/2018 22:19,11/12/2018 22:46,CX-59,delivery 
1671,10/26/2018 14:19,10/26/2018 14:42,CX-501,pick-up
1672,11/19/2018 7:52,11/19/2018 8:05,CX-432,delivery 
1673,11/23/2018 21:40,11/23/2018 21:55,CX-192,pick-up
1674,11/17/2018 7:47,11/17/2018 8:05,CX-381,delivery 
1675,11/10/2018 11:36,11/10/2018 11:49,CX-409,pick-up
1676,9/19/2018 22:59,9/19/2018 23:15,CX-667,delivery 
1677,9/4/2018 1:02,9/4/2018 1:08,CX-356,pick-up
1678,8/29/2018 1:08,8/29/2018 1:12,CX-548,delivery 
1679,9/10/2018 12:14,9/10/2018 12:15,CX-137,pick-up
1680,11/12/2018 17:44,11/12/2018 18:11,CX-842,delivery 
1681,11/10/2018 16:27,11/10/2018 16:38,CX-387,pick-up
1682,11/1/2018 8:08,11/1/2018 8:29,CX-788,delivery 
1683,9/21/2018 9:41,9/21/2018 9:48,CX-847,pick-up
1684,10/21/2018 9:27,10/21/2018 9:52,CX-102,delivery 
1685,10/9/2018 9:20,10/9/2018 9:46,CX-1,pick-up
1686,11/26/2018 11:28,11/26/2018 11:41,CX-617,delivery 
1687,11/3/2018 23:28,11/3/2018 23:32,CX-400,pick-up
1688,11/29/2018 23:11,11/29/2018 23:15,CX-848,delivery 
1689,9/23/2018 11:41,9/23/2018 11:43,CX-844,pick-up
1690,8/25/2018 8:50,8/25/2018 9:00,CX-337,delivery 
1691,10/23/2018 9:56,10/23/2018 10:13,CX-23,pick-up
1692,9/24/2018 8:28,9/24/2018 8:52,CX-488,delivery 
1693,10/4/2018 19:59,10/4/2018 20:12,CX-831,pick-up
1694,9/21/2018 2:06,9/21/2018 2:08,CX-103,delivery 
1695,11/2/2018 3:22,11/2/2018 3:36,CX-51,pick-up
1696,11/17/2018 5:43,11/17/2018 5:56,CX-442,delivery 
1697,10/12/2018 9:56,10/12/2018 9:58,CX-238,pick-up
1698,10/7/2018 10:42,10/7/2018 10:59,CX-254,delivery 
1699,9/30/2018 18:54,9/30/2018 19:07,CX-12,pick-up
1700,9/1/2018 12:06,9/1/2018 12:32,CX-609,delivery 
1701,10/28/2018 14:45,10/28/2018 14:50,CX-167,pick-up
1702,10/22/2018 2:14,10/22/2018 2:18,CX-946,delivery 
1703,11/19/2018 7:18,11/19/2018 7:41,CX-604,pick-up
1704,11/27/2018 6:23,11/27/2018 6:39,CX-833,delivery 
1705,11/12/2018 23:54,11/12/2018 23:55,CX-207,pick-up
1706,10/26/2018 4:48,10/26/2018 5:03,CX-689,delivery 
1707,11/30/2018 14:29,11/30/2018 14:41,CX-170,pick-up
1708,8/24/2018 10:01,8/24/2018 10:27,CX-110,delivery 
1709,10/17/2018 10:43,10/17/2018 10:57,CX-835,pick-up
1710,11/6/2018 19:07,11/6/2018 19:26,CX0,delivery 
1711,10/6/2018 10:04,10/6/2018 10:22,CX-443,pick-up
1712,11/12/2018 5:18,11/12/2018 5:31,CX-701,delivery 
1713,9/17/2018 16:44,9/17/2018 16:50,CX-619,pick-up
1714,9/23/2018 19:15,9/23/2018 19:21,CX-618,delivery 
1715,11/9/2018 16:03,11/9/2018 16:06,CX-446,pick-up
1716,9/25/2018 13:43,9/25/2018 13:49,CX-962,delivery 
1717,11/21/2018 10:27,11/21/2018 10:51,CX-118,pick-up
1718,10/18/2018 12:38,10/18/2018 12:48,CX-716,delivery 
1719,9/27/2018 0:55,9/27/2018 1:13,CX-708,pick-up
1720,10/25/2018 9:25,10/25/2018 9:27,CX-204,delivery 
1721,10/27/2018 11:26,10/27/2018 11:33,CX-239,pick-up
1722,9/28/2018 7:05,9/28/2018 7:10,CX-942,delivery 
1723,10/14/2018 6:54,10/14/2018 7:10,CX-614,pick-up
1724,11/30/2018 20:35,11/30/2018 20:35,CX-280,delivery 
1725,10/13/2018 13:19,10/13/2018 13:24,CX-989,pick-up
1726,10/31/2018 5:52,10/31/2018 6:12,CX-584,delivery 
1727,9/23/2018 4:25,9/23/2018 4:26,CX-432,pick-up
1728,10/24/2018 8:03,10/24/2018 8:14,CX-892,delivery 
1729,11/12/2018 11:04,11/12/2018 11:05,CX-770,pick-up
1730,10/22/2018 9:56,10/22/2018 10:26,CX-152,delivery 
1731,11/7/2018 15:54,11/7/2018 15:56,CX-257,pick-up
1732,11/18/2018 1:33,11/18/2018 1:42,CX-425,delivery 
1733,11/14/2018 16:34,11/14/2018 16:37,CX-486,pick-up
1734,11/16/2018 3:10,11/16/2018 3:30,CX-359,delivery 
1735,11/23/2018 12:26,11/23/2018 12:45,CX-118,pick-up
1736,9/1/2018 15:36,9/1/2018 16:01,CX-760,delivery 
1737,8/25/2018 4:36,8/25/2018 5:04,CX-127,pick-up
1738,9/5/2018 3:16,9/5/2018 3:20,CX-987,delivery 
1739,11/30/2018 19:26,11/30/2018 19:43,CX-375,pick-up
1740,12/1/2018 15:57,12/1/2018 16:21,CX-445,delivery 
1741,10/3/2018 4:18,10/3/2018 4:29,CX-682,pick-up
1742,10/17/2018 16:40,10/17/2018 17:05,CX-85,delivery 
1743,10/22/2018 23:40,10/22/2018 23:52,CX-737,pick-up
1744,11/4/2018 6:40,11/4/2018 7:07,CX-819,delivery 
1745,10/20/2018 19:44,10/20/2018 20:13,CX-283,pick-up
1746,11/23/2018 19:24,11/23/2018 19:46,CX-565,delivery 
1747,10/31/2018 10:19,10/31/2018 10:30,CX-15,pick-up
1748,11/28/2018 16:25,11/28/2018 16:49,CX-762,delivery 
1749,11/6/2018 11:49,11/6/2018 11:58,CX-570,pick-up
1750,10/24/2018 6:39,10/24/2018 6:41,CX-631,delivery 
1751,11/5/2018 22:40,11/5/2018 22:51,CX-684,pick-up
1752,11/1/2018 3:55,11/1/2018 4:04,CX-593,delivery 
1753,11/17/2018 6:27,11/17/2018 6:44,CX-395,pick-up
1754,10/20/2018 2:04,10/20/2018 2:15,CX-274,delivery 
1755,10/1/2018 11:30,10/1/2018 11:44,CX-756,pick-up
1756,9/26/2018 15:46,9/26/2018 16:12,CX-360,delivery 
1757,10/11/2018 17:35,10/11/2018 17:37,CX-212,pick-up
1758,9/13/2018 15:06,9/13/2018 15:19,CX-838,delivery 
1759,11/4/2018 12:30,11/4/2018 12:35,CX-602,pick-up
1760,11/25/2018 10:52,11/25/2018 10:54,CX-928,delivery 
1761,11/11/2018 3:31,11/11/2018 3:42,CX-180,pick-up
1762,11/27/2018 14:07,11/27/2018 14:10,CX-636,delivery 
1763,10/11/2018 21:29,10/11/2018 21:31,CX-615,pick-up
1764,11/20/2018 14:49,11/20/2018 15:14,CX-123,delivery 
1765,11/26/2018 14:35,11/26/2018 15:01,CX-114,pick-up
1766,11/27/2018 8:54,11/27/2018 9:18,CX-494,delivery 
1767,10/15/2018 2:52,10/15/2018 2:57,CX-35,pick-up
1768,11/6/2018 6:26,11/6/2018 6:56,CX-236,delivery 
1769,10/23/2018 13:51,10/23/2018 14:10,CX-643,pick-up
1770,11/23/2018 20:37,11/23/2018 21:02,CX-3,delivery 
1771,11/13/2018 12:37,11/13/2018 13:00,CX-727,pick-up
